category,mutnb
Invasive,0
Pathology,0
ACVR2A,2.4
KDM5A,2.4
KDM6A,2.4
LPP,2.4
ZFHX3,2.4
MECOM,2.4
MUC4,2.4
NR4A3,2.4
NRAS,2.4
QKI,2.4
RALGDS,2.4
RNF213,2.4
RPN1,2.4
STAT5B,2.4
TMPRSS2,2.4
HOOK3,2.4
FOXP1,2.4
ZNF429,2.4
BCOR,2.4
BRIP1,2.4
CAMTA1,2.4
ERC1,2.4
CBLB,2.4
CSMD3,2.4
CREB1,2.4
CREBBP,2.4
KLF4,4.8
RB1,4.8
MYH9,4.8
MYB,4.8
RGS7,4.8
ROBO2,4.8
RSPO2,4.8
RUNX1,4.8
TERT,4.8
ETV6,4.8
THRAP3,4.8
WT1,4.8
PDCD1LG2,4.8
STIL,7.3
ALK,7.3
WDCP,7.3
FAT3,7.3
PTPRD,7.3
MDM2,7.3
NBEA,7.3
FANCD2,7.3
DCC,7.3
KMT2C,7.3
PPM1D,9.8
ATM,9.8
FHIT,9.8
ANK1,9.8
SPEN,14.6
BIRC6,17.1
LRP1B,19.5
ARID1A,19.5
FAT1,24.4
FBXW7,24.4
GNAS,29.3
TP53,36.6
U2AF1,41.5
RNF43,48.8
SMAD4,48.8
KRAS,53.7
LATS1,56.1
ARID1B,58.5
CDKN2A,63.4
