samples,Total
multipleBarnches,39
multipleBarnches,18
multipleBarnches,54
multipleBarnches,94
multipleBarnches,27
multipleBarnches,123
multipleBarnches,9
multipleBarnches,25
multipleBarnches,27
multipleBarnches,26
multipleBarnches,174
multipleBarnches,144
multipleBarnches,148
multipleBarnches,125
multipleBarnches,156
multipleBarnches,152
multipleBarnches,74
multipleBarnches,75
multipleBarnches,180
multipleBarnches,33
singleBranch,24
singleBranch,38
singleBranch,15
singleBranch,15
singleBranch,32
singleBranch,73
singleBranch,18
singleBranch,41
singleBranch,111
singleBranch,19
singleBranch,15
singleBranch,35
singleBranch,7
singleBranch,18
singleBranch,6
singleBranch,8
