"tumourSample","KRAS_snvIndel","GNAS_snvIndel","LRP1B_snvIndel","TP53_snvIndel","U2AF1_los","RNF43_los","los_12q21_31","los_21q22_3","los_17q22","los_6q27","gain_8q24_3","gain_14q32","gain_17p11","gain_8q23","gain_11p11"
"IPMN","positive","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"IPMN","positive","positive","negative","positive","positive","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive"
"IPMN","positive","positive","negative","negative","positive","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive"
"IPMN","positive","positive","negative","negative","positive","positive","negative","positive","positive","positive","positive","positive","positive","positive","negative"
"IPMN","positive","positive","negative","negative","negative","negative","negative","negative","negative","positive","positive","positive","positive","positive","negative"
"IPMN","positive","positive","negative","negative","negative","negative","negative","negative","negative","positive","positive","positive","positive","positive","negative"
"IPMN","positive","positive","negative","negative","negative","negative","negative","negative","negative","positive","negative","positive","positive","negative","negative"
"IPMN","positive","positive","negative","negative","negative","negative","negative","negative","negative","positive","negative","positive","positive","negative","negative"
"IPMN","positive","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","positive","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative"
"IPMN","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative"
"PDAC","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive","positive"
"PDAC","positive","negative","negative","positive","positive","positive","positive","positive","positive","positive","positive","positive","negative","positive","negative"
"PDAC","positive","negative","negative","positive","positive","positive","negative","positive","positive","positive","positive","positive","negative","positive","negative"
"PDAC","positive","negative","negative","positive","positive","positive","negative","positive","positive","positive","positive","positive","negative","positive","negative"
"PDAC","negative","negative","negative","positive","positive","negative","negative","positive","negative","positive","positive","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative","negative"
"PDAC","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","negative","positive","negative","negative","negative"
