tumorStage,snvnonDriverCoding,snvnonDriverRegulation,snvnonDriverIntronic,snvnonDriverintergenic,snvDriverNonCoding,indelnonDriverCoding,indelnonDriverRegulation,indelnonDriverIntronic,indelnonDriverintergenic,indelDriverNonCoding
IPMN,49,231,1187,1446,8,0,2,7,13,0
IPMN,10,63,289,329,1,3,16,111,120,0
IPMN,5,68,317,341,3,1,12,59,81,0
IPMN,38,246,1140,1429,8,0,1,15,20,0
IPMN,44,231,1249,1597,13,1,17,92,132,2
IPMN,1,10,34,37,0,0,2,6,5,0
IPMN,5,2,22,27,0,0,0,2,1,0
IPMN,1,3,12,19,0,3,26,123,137,1
IPMN,42,323,1679,1992,14,0,1,1,2,0
IPMN,0,0,6,10,0,0,3,23,27,0
IPMN,1,31,133,173,2,0,17,66,90,0
IPMN,13,80,368,420,2,2,19,108,110,1
IPMN,42,291,1510,1809,9,4,14,62,50,1
IPMN,30,223,1060,1287,9,0,1,9,3,0
IPMN,18,183,902,1175,13,1,19,122,146,2
IPMN,37,262,1261,1537,6,0,0,2,1,0
IPMN,7,100,399,513,3,0,0,12,7,0
IPMN,5,27,112,145,1,0,1,6,7,0
IPMN,22,166,844,1048,10,0,12,47,53,0
IPMN,19,105,534,651,8,1,3,28,31,0
IPMN,3,30,148,167,2,0,0,4,4,0
IPMN,37,246,1125,1406,9,1,11,66,102,0
PDAC,43,256,1216,1463,13,2,17,90,85,0
PDAC,66,479,2635,3392,47,4,50,267,306,0
PDAC,49,336,1931,2508,36,3,26,186,210,0
PDAC,44,249,1277,1599,10,3,21,104,100,3
PDAC,9,65,310,411,3,1,4,18,29,0
PDAC,107,725,3105,3087,29,2,24,76,61,3
PDAC,86,598,3118,3549,33,6,43,200,272,4
PDAC,26,229,1142,1266,11,2,5,37,35,0
PDAC,85,596,3120,3581,33,6,48,232,280,4
PDAC,28,254,1457,1972,12,1,27,126,129,1
PDAC,7,67,271,314,1,0,5,10,10,0
PDAC,0,1,4,11,1,0,0,1,0,0
PDAC,7,94,431,480,6,0,2,29,12,0
PDAC,25,177,1016,1280,17,1,12,53,62,0
PDAC,0,0,5,7,0,0,1,4,4,0
PDAC,53,365,1802,2427,25,5,27,149,194,2
PDAC,68,474,2337,3137,28,6,40,271,334,2
PDAC,15,162,712,767,7,1,4,25,16,0
PDAC,51,332,1641,2228,23,5,24,156,180,2
